age,qx
0,0.00223
1,0.00062
2,0.00043
3,0.00035
4,0.00030
5,0.00026
6,0.00023
7,0.00020
8,0.00018
9,0.00016
10,0.00015
11,0.00014
12,0.00013
13,0.00013
14,0.00013
15,0.00014
16,0.00015
17,0.00016
18,0.00018
19,0.00020
20,0.00023
21,0.00026
22,0.00029
23,0.00033
24,0.00037
25,0.00042
26,0.00047
27,0.00053
28,0.00059
29,0.00066
30,0.00073
31,0.00081
32,0.00090
33,0.00100
34,0.00111
35,0.00123
36,0.00137
37,0.00153
38,0.00171
39,0.00191
40,0.00214
41,0.00240
42,0.00270
43,0.00304
44,0.00342
45,0.00385
46,0.00435
47,0.00490
48,0.00553
49,0.00624
50,0.00705
51,0.00796
52,0.00899
53,0.01015
54,0.01146
55,0.01295
56,0.01463
57,0.01654
58,0.01870
59,0.02115
60,0.02394
61,0.02711
62,0.03072
63,0.03482
64,0.03947
65,0.04475
66,0.05073
67,0.05750
68,0.06517
69,0.07386
70,0.08367
71,0.09476
72,0.10729
73,0.12147
74,0.13753
75,0.15573
76,0.17639
77,0.19985
78,0.22650
79,0.25676
80,0.29107
81,0.32993
82,0.37385
83,0.42337
84,0.47908
85,0.54162
86,0.61173
87,0.69022
88,0.77797
89,0.87590
90,0.98500
91,1.00000
